4724	Banya - Foulbe, Hausa
4725	Choa Arab - Kotoko
353	Cameroon: Government
13638	Cameroon: Islamic State
14081	Comités locaux de vigilance - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad
14129	Cameroon: Ambazonia
14605	Ambazonia insurgents - Civilians
15371	Choa Arab - Musgum
4726	Hells Angels - Rock Machine
314	Uganda: Government
416	Central African Republic: Government
464	Government of Central African Republic - Civilians
465	Government of Chad - Civilians
466	Government of Congo - Civilians
468	Government of Uganda - Civilians
554	SPLM/A - Civilians
559	LRA - Civilians
586	Janjaweed  - Civilians
1047	Seleka - Civilians
2393	FDPC - Civilians
4219	FPR - Civilians
4969	CPJP - Seleka
11191	Christians (CAR) - Muslims (CAR)
11704	anti-Balaka - FPRC
11705	anti-Balaka - Civilians
11706	FPRC - Civilians
15283	Central African Republic: Logone
13384	anti-Balaka - UPC
13388	UPC - Civilians
13690	MPC - Civilians
13760	FPRC - UPC
13870	3R - Civilians
13925	FPRC, MPC - Civilians
14000	anti-Balaka - MPC
14089	3R - anti-Balaka
14090	anti-Balaka, FPRC-AK - FPRC
14217	MNLC - RJ
14218	MNLC - Civilians
14241	Anti-Balaka - Mokom, FPRC, MPC, RPRC - UPC
14244	Anti-Balaka - Mokom, FPRC, MPC, RPRC - Civilians
14245	Anti-Balaka - Mokom - Civilians
14258	anti-Balaka - Peuhl militia (Zemio)
14378	FPRC - MPC
14578	FPRC, MPC, Self-Defense Mujahidin (CAR) - Civilians
14717	FPRC - MLCJ
15031	FPRC - MLCJ, PRNC, RPRC
15033	FPRC - MLCJ, RPRC
15208	CPC - Civilians
288	Chad: Government
309	Sudan: Government
480	Government of Sudan - Civilians
553	FARF - Civilians
555	JEM - Civilians
966	CSNPD - Civilians
4604	Darsalim - Kibete
4701	Tama - Zaghawa
4727	Khozam   - Oulad Rachid
4849	Awlad Zeid - Zaghawa
4852	Masalit  - Rizeigat Abbala
13640	Chad: Islamic State
13678	Toubou  - Zaghawa
14747	Dadjo - Mouro
15479	Arab - Kagal, Kibete
15483	Arab - Bulala
439	Myanmar (Burma): Kokang
486	Government of China - Civilians
10310	Han Chinese - Uighur
11349	China: East Turkestan
289	Colombia: Government
446	Government of Colombia - Civilians
447	Government of Venezuela - Civilians
605	FARC - Civilians
606	ELN - Civilians
609	ACCU - Civilians
610	AUC - Civilians
611	Medellín Cartel - Civilians
4586	AUC - FARC
4728	AUC - ELN
4729	Cali Cartel - Medellín Cartel
4730	Medellín Cartel - PEPES
13079	AUC - ELN, FARC
13757	Bloque Central Bolívar - Civilians
13812	MAS - Civilians
13824	Bloque Central Bolívar - ELN, FARC
14346	FARC dissidents - Civilians
15318	ACC - FARC
362	Comoros: Government
407	Comoros: Anjouan
4731	MPA/Republic of Anjouan - MPA - SOC
408	Congo: Government
574	Cobras - Civilians
575	Ntsiloulous - Civilians
337	Somalia: Government
379	Djibouti: Government
435	Djibouti - Eritrea
604	Al-Shabaab - Civilians
4683	Oromo - Somali
4822	Forces of Abdurahman Ahmed Ali 'Tur' - Republic of Somaliland
14929	Afar - Somali
283	DR Congo (Zaire): Government
429	DR Congo (Zaire): Kongo Kingdom
467	Government of DR Congo (Zaire) - Civilians
476	Government of Zimbabwe (Rhodesia) - Civilians
547	AFDL - Civilians
548	RCD - Civilians
549	RCD-ML  - Civilians
550	CNDP - Civilians
560	ADF - Civilians
569	FDLR - Civilians
582	FAPC - Civilians
583	FNI - Civilians
588	Mayi Mayi - Chinja Chinja - Civilians
589	Mayi Mayi - Civilians
591	Mayi Mayi - Ngilima  - Civilians
593	Rastas - Civilians
594	RCD - LN - Civilians
619	PARECO - Civilians
621	RCD - CP  - Civilians
627	UPC - Civilians
628	FRPI - Civilians
631	Mayi Mayi Complet - Civilians
708	Government of South Sudan - Civilians
951	CNDD - Civilians
1952	M23 - Civilians
1990	Mayi Mayi Simba - Civilians
1991	Raia Mutomboki - Civilians
3722	NDC - Civilians
3725	Nyatura - Civilians
3728	CNPSC - Civilians
3731	Mayi Mayi Kifuafua, Raia Mutomboki - Civilians
4505	MLC, RCD-N - Civilians
4506	FNI, FRPI, RCD-K-ML  - Civilians
4507	FNI, FRPI - Civilians
4508	FRPI, RCD-K-ML  - Civilians
4511	MLC, RCD-N, UPC - Civilians
4519	FAPC, FNI - Civilians
4575	Alur - Lendu
4587	Bangadi Militia - LRA
4589	Bena Kapuya - Bena Nshimba
4600	CNDP - PARECO
4615	FAPC - FNI
4638	Hema - Lendu
4689	Mayi Mayi - RCD
4690	FRF - RCD
4691	RCD-K-ML  - RCD-N
4692	RCD-K-ML  - MLC, RCD-N
4732	AFDL - ALiR
4733	AFDL - Mayi Mayi
4734	Hunde - Hutu
4735	Banyarwanda - Hunde, Nyanga
4736	CNDD-FDD , Mayi Mayi - RCD
4737	RCD-ML  - RCD-K-ML
4738	Mayi Mayi - RCD-ML
4917	FNI - PUSIC
4918	FNI - UPC
4919	FNI, FRPI - UPC
4920	RCD-K-ML  - UPC
4963	FDC - FDLR
5000	ALiR, Mayi Mayi - RCD
5001	ALiR, CNDD-FDD , Mayi Mayi - RCD
5002	Bafulero, Bavira - Banyamulenge
5042	APCLS - M23
5046	FDLR - Raia Mutomboki
9282	Banunu - Batende
11258	Interahamwe, ex-FAR, MAGRIVI  - Civilians
11313	FLC - Mayi Mayi
265	DR Congo (Zaire): Katanga
11403	Kata Katanga - Civilians
11649	M23 - M23-R
11665	APCLS - NDC
13194	FDC - Groupe de Sécurité (Nyatura Kasongo)
13221	Raia Mutomboki - Bravo - Raia Mutomboki - Makombo
13225	Baluba - Batwa
13361	Hutu - Nande
13362	Bafulero - Banyamulenge, Barundi
13382	Mayi Mayi - Makabe - Civilians
13529	Elements (Luba militia) - Civilians
13531	Perci (Batwa militia) - Civilians
13818	Mayi Mayi Mazembe - Civilians
13912	APCLS, FDLR, Nyatura Love - Mayi Mayi Mazembe, NDC-R
13959	Mayi Mayi Mazembe, NDC-R - Civilians
9237	Kamuina Nsapu - Civilians
13961	Chokwe, Pende - Baluba, Lulua
13967	Bana Mura - Civilians
13975	NDC-R - Mayi Mayi Mazembe
14080	ADF, Mayi Mayi Mayangose - Civilians
14085	ADF, Vuba militia - Civilians
14106	NDC-R - Civilians
14157	Bafulero - Banyamulenge
14183	CNRD - Groupe de Sécurité (Nyatura Kasongo)
14206	CNPSC - Twiganeho
14208	CMC - Civilians
14210	CMC - NDC-R
14237	Bambuti, Batwa - Batabwa
14289	CMC - Mayi Mayi Mazembe
