org_id	org_name
89	Government of DR Congo (Zaire)
422	AFDL
423	MLC
424	RCD
426	CNDP
489	ADF
561	BDK
101	Government of Zimbabwe (Rhodesia)
425	RCD-ML
603	FAPC
606	FNI
645	Mayi Mayi - Chinja Chinja
648	Mayi Mayi
659	Mayi Mayi - Ngilima
672	Rastas
674	RCD - LN
896	PARECO
1043	RCD - CP
1076	UPC
1077	FRPI
1114	Mayi Mayi Complet
113	Government of South Sudan
1160	M23
1198	Mayi Mayi Simba
1199	Raia Mutomboki
3037	NDC
3040	Nyatura
3043	CNPSC
4149	Mayi Mayi Kifuafua, Raia Mutomboki
3845	MLC, RCD-N
3846	FNI, FRPI, RCD-K-ML
3847	FNI, FRPI
3848	FRPI, RCD-K-ML
3851	MLC, RCD-N, UPC
3859	FAPC, FNI
577	Alur
638	Lendu
895	Bangadi Militia
647	Bena Kapuya
646	Bena Nshimba
616	Hema
673	FRF
789	RCD-K-ML
653	RCD-N
914	Hunde
1074	Banyarwanda
3860	Hunde, Nyanga
3854	CNDD-FDD , Mayi Mayi
1075	PUSIC
1136	FDC
3857	ALiR, Mayi Mayi
3875	ALiR, CNDD-FDD , Mayi Mayi
3880	Bafulero, Bavira
1196	Banyamulenge
1200	APCLS
3430	Banunu
3431	Batende
3861	Interahamwe, ex-FAR, MAGRIVI
3953	FLC
3967	Kata Katanga
4130	M23-R
4286	Forces of Paul Joseph Mukungubila
4314	Groupe de Sécurité (Nyatura Kasongo)
5821	Raia Mutomboki - Bravo
5822	Raia Mutomboki - Makombo
4383	Baluba
2398	Batwa
2397	Nande
3441	Bafulero
5976	Banyamulenge, Barundi
5997	Mayi Mayi - Makabe
6185	Elements (Luba militia)
6186	Perci (Batwa militia)
3518	UPCP
6587	Mayi Mayi Mazembe
6590	Kamuina Nsapu
6585	APCLS, FDLR, Nyatura Love
6683	Mayi Mayi Mazembe, NDC-R
7087	Chokwe, Pende
7088	Baluba, Lulua
6739	Bana Mura
6740	MNR
6491	NDC-R
6802	ADF, Mayi Mayi Mayangose
6807	ADF, Vuba militia
6894	UPLC
6684	CNRD
